'BOUT	B AW T
BERGH	B ER G
BERGHOF	B ER G HH AO F
BERGHOFF	B ER G HH AO F
BERGHUIS	B ER G HH UW IH Z
BERGIN	B ER G IH N
BERGLUND	B ER G L AH N D
BERGNER	B ER G N ER
BERGQUIST	B ER G K W IH S T
BERGREN	B ER G R EH N
BERGSCHNEIDER	B ER G SH N AY D ER
BERGSMA	B EH R G Z M AH
BERGSTEDT	B ER G S T EH T
BERGSTEIN	B ER G S T AY N
BERGSTEN	B ER G S AH N
BERGSTRAND	B ER G S T R AE N D
BERGSTRAUSSER	B ER G S T R AW S ER
BERGSTRAUSSER'S	B ER G S T R AW S ER Z
BERGSTRESSER	B ER G S T R EH S ER
BERGSTROM	B ER G S T R AA M
BERGTHOLD	B ER G TH OW L D
BERHOW	B ER HH OW
BERIA	B EH R IY AH
BERING	B EH R IH NG
BERINGER	B EH R IH NG ER
BERISFORD	B EH R IH S F ER D
BERISH	B ER IH SH
BERJAYA	B ER JH AY AH
BERKA	B ER K AH
BERKEBILE	B ER K IH B AH L
BERKEL	B ER K AH L
BERKELEY	B ER K L IY
BERKELMAN	B ER K AH L M AH N
BERKERY	B ER K ER IY
BERKES	B ER K S
BERKEY	B ER K IY
BERKLAND	B ER K L AH N D
BERKLEE	B ER K L IY
BERKLEY	B ER K L IY
BERKMAN	B ER K M AH N
BERKOFF	B ER K AO F
BERKOWITZ	B ER K AH W IH T S
BERKSHIRE	B ER K SH ER
BERKSHIRE(1)	B ER K SH AY R
BERKSHIRES	B ER K SH IH R Z
BERKSHIRES(1)	B ER K SH AY R Z
BERKSON	B ER K S AH N
BERKSTRESSER	B ER K S T R IH S ER
BERLACK	B ER L AE K
BERLAND	B ER L AH N D
BERLANGA	B ER L AA NG G AH
BERLASCONE	B EH R L AH S K OW N IY
BERLASCONE'S	B EH R L AH S K OW N IY Z
BERLE'S	B ER L Z
BERLES	B ER L Z
BERLES'	B ER L Z
BERLET	B ER L EH T
BERLET'S	B ER L EH T S
BERLIN'S	B ER L IH N Z
BERLINER'S	B ER L IH N ER Z
BERLINER'S(1)	B ER L AY N ER Z
BERLINERS	B ER L IH N ER Z
BERLINERS(1)	B ER L AY N ER Z
BERLING	B ER L IH NG
BERLIOZ	B ER L IY OW Z
BERLOTTES	B ER L AA T S
BERLS	B ER L Z
BERLUSCONI	B ER L AH S K OW N IY
BERLUSCONI'S	B ER L AH S K OW N IY Z
BERMAN	B ER M AH N
BERMAN'S	B ER M AH N Z
BERMANS	B ER M AH N Z
BERMEL	B ER M AH L
BERMS	B ER M Z
BERMUDA	B ER M Y UW D AH
BERMUDES	B ER M Y UW D Z
BERN	B ER N
BERNA	B EH R N AH
BERNABE	B ER N AH B
BERNABEI	B ER N AH B AY
BERNACKI	B ER N AA T S K IY
BERNADENE	B ER N AH D IY N
BERNADETTE	B ER N AH D EH T
BERNADIN	B ER N AH D IH N
BERNADINO	B ER N AH D IY N OW
BERNAL	B ER N AH L
BERNAMA	B ER N AA M AH
BERNARD(1)	B ER N ER D
BERNARD'S	B ER N AA R D Z
BERNARDIN	B ER N AA R D IY N
BERNARDINI	B ER N AA R D IY N IY
BERNARDINO	B ER N AH D IY N OW
BERNARDO	B ER N AA R D OW
BERNAS	B ER N AH Z
BERNASCONI	B ER N AA S K OW N IY
BERNAT	B ER N AH T
BERNATH	B ER N AH TH
BERNAUER	B ER N AW ER
BERNAY	B ER N EY
BERNBACH	B ER N B AA K
BERND	B ER N T
BERNDT	B ER N T
BERNE	B ER N
BERNEICE	B ER N AY S
BERNER	B ER N ER
BERNETT	B ER N IH T
BERNEY	B ER N IY
BERNHAGEN	B ER N HH AH G AH N
BERNHARD	B ER N HH AA R D
BERNHARDT	B ER N HH AA R T
BERNHEIM	B ER N HH AY M
BERNHEIMER	B ER N HH AY M ER
BERNI	B EH R N IY
BERNIA	B EH R N IY AH
BERNICE	B ER N IY S
BERNICK	B ER N IH K
BERNIE	B ER N IY
BERNIE'S	B ER N IY Z
BERNING	B ER N IH NG
BERNITA	B ER N IY T AH
BERNS	B ER N Z
BERNSEN	B ER N S AH N
BERNSON	B ER N S AH N
BERNSTEIN	B ER N S T AY N
BERNSTEIN(1)	B ER N S T IY N
BERNSTEIN'S	B ER N S T IY N Z
BERNSTEIN'S(1)	B ER N S T AY N Z
BERNSTEINS	B ER N S T AY N Z
BERNSTEINS(1)	B ER N S T IY N Z
BERNT	B ER N T
BERNTSEN	B ER N T S AH N
BERNTSON	B ER N T S AH N
BERO	B EH R OW
BERON	B EH R AH N
BERQUIST	B ER K W IH S T
BERRA	B EH R AH
BERRARD	B EH R AA R D
BERRARD(1)	B ER AA R D
BERRETH	B EH R IH TH
BERRETT	B EH R IH T
BERREY	B EH R IY
BERRI	B EH R IY
BERRIAN	B EH R IY AH N
BERRIDGE	B EH R IH JH
BERRIEN	B EH R IY AH N
BERRIER	B EH R IY ER
BERRIES	B EH R IY Z
BERRILL	B EH R AH L
BERRIOS	B EH R IY OW Z
BERRONG	B EH R AO NG
BERRY'S	B EH R IY Z
BERRYHILL	B EH R IY HH IH L
BERRYLIKE	B EH R IY L AY K
BERRYMAN	B EH R IY M AH N
BERSCH	B ER SH
BERSHAD	B ER SH AA D
BERSON	B ER S AH N
BERST	B ER S T
BERSTEIN(1)	B ER S T AY N
BERT	B ER T
BERTCH	B ER CH
BERTE	B ER T
BERTELLI	B ER T EH L IY
BERTELS	B ER T AH L Z
BERTELSEN	B ER T IH L S AH N
BERTELSMANN	B ER T AH L Z M AH N
BERTELSMANN'S	B ER T AH L Z M AH N Z
BERTELSON	B ER T IH L S AH N
BERTHELSEN	B ER TH AH L S AH N
BERTHIAUME	B ER TH IY UW M IY
BERTHOLD	B ER TH OW L D
BERTHOLF	B ER TH OW L F
BERTHS	B ER TH S
BERTI	B EH R T IY
BERTIE	B ER T IY
BERTIL	B ER T IH L
BERTILDE	B ER T IH L D
BERTIN	B ER T IH N
BERTINO	B ER T IY N OW
BERTINOTTI	B ER T IH N AO T IY
BERTLING	B ER T AH L IH NG
BERTLING(1)	B ER T L IH NG
BERTOLD	B ER T OW L D
BERTOLI	B ER T OW L IY
BERTOLINI	B ER T OW L IY N IY
BERTOLINO	B ER T OW L IY N OW
BERTOLOTTI	B ER T OW L OW T IY
BERTON	B ER T AH N
BERTONE	B ER T OW N IY
BERTONI	B ER T OW N IY
BERTRADE	B ER T R AH D
BERTRAM	B ER T R AH M
BERTRAN	B ER T R AH N
BERTRAND	B ER T R AH N D
BERTSCH	B ER CH
BERTSCHE	B ER CH
BERTUCCI	B ER T UW CH IY
BERTUCCI'S	B ER T UW CH IY Z
BERTY	B ER T IY
BERTZ	B ER T S
BERUBE	B EH R UW B
BERUDI	B AH R UW D IY
BERUMEN	B IH R UW M EH N
BERWANGER	B ER W AO NG ER
BERWICK	B ER W IH K
BERWYN	B ER W IH N
BERZIN	B ER Z IH N
BERZINS	B ER Z IH N Z
BES	B IY Z
BESANCON	B IH S AE N K AH N
BESANT	B EH Z AH N T
BESAW	B IY S AO
BESCH	B EH SH
BESCHLOSS	B EH SH L AO S
BESCHLOSS'	B EH SH L AO S
BESECKER	B EH S IH K ER
BESEECHED	B IY S IY CH T
BESEECHING	B IY S IY CH IH NG
BESEIGED	B IH S IY JH D
BESEMER	B EH S IY M ER
BESHAROV	B EH SH ER AA V
BESHEARS	B EH SH IY R Z
BESHLOSS	B EH SH L AO S
BESHORE	B EH SH ER
BESIEGED	B IH S IY JH D
BESKE	B EH S K
BESLER	B EH S AH L ER
BESLER(1)	B EH S L ER
BESNER	B EH S N ER
BESNER'S	B EH S N ER Z
BESPECTACLE	B IH S P EH K T AH K AH L
BESS	B EH S
BESSEMER	B EH S AH M ER
BESSERT	B EH S ER T
BESSETTE	B IH S EH T
BESSIE	B EH S IY
BESSINGER	B EH S IH N JH ER
BESSIRE	B EH S IH R IY
BESSLER	B EH S L ER
BESSO	B EH S OW
BESSON	B EH S AH N
BESSY	B EH S IY
BEST-WESTERN	B EH S T W EH S T ER N
BESTE	B EH S T
BESTED	B EH S T IH D
BESTIAL	B EH S CH AH L
BESTING	B EH S T IH NG
BESTOWS	B IH S T OW Z
BESTRODE	B IH S T R OW D
BESTSELLER	B EH S T S EH L ER
BESTSELLERS	B EH S T S EH L ER Z
BESTSELLERS(1)	B EH S EH L ER Z
BESTSELLING(1)	B EH S EH L IH NG
BESTUL	B EH S T AH L
BESTWICK	B EH S T W IH K
BESWICK	B EH S W IH K
BET'S	B EH T S
BETABIA	B AH T EY B IY AH
BETABIA(1)	B AH T AE B IY AH
BETAKEREN	B EH T AH K EH R AH N
BETANCOURT	B EH T AH N K AO R T
BETANCUR	B AH T AE NG K ER
BETAR	B EH T AA R
BETASERON	B EY T AH S EH R AA N
BETAVON	B EH T AH V AA N
BETCHA	B EH CH AH
BETELGEUSE	B EH T AH L G UH Z
BETETA	B EH T EY T AH
BETH'S	B EH TH S
BETHANNE	B EH TH AE N
BETHANY	B EH TH AH N IY
BETHARD	B EH TH ER D
BETHEA	B EH DH IY AH
BETHESDA	B AH TH EH Z D AH
BETHKE	B EH TH K
BETHLEHEM	B EH TH L IH HH EH M
BETHLEHEM'S	B EH TH L IH HH EH M Z
BETHPAGE	B EH TH P EY JH
BETHUNE	B AH TH Y UW N
BETKE	B EH T K IY
BETKER	B EH T K ER
BETLEY	B EH T L IY
BETRAYALS	B IH T R EY AH L Z
BETRAYED	B IH T R EY D
BETRAYS	B IH T R EY Z
BETS	B EH T S
BETSCHART	B EH T S CH AA R T
BETSILL	B EH T S AH L
BETSY	B EH T S IY
BETSY'S	B EH T S IY Z
BETT	B EH T
BETTCHER	B EH T CH ER
BETTENBERG	B EH T AH N B ER G
BETTENCOURT	B EH T IH N K AO R T
BETTENDORF	B EH T IH N D AO R F
BETTENHAUSEN	B EH T IH N HH AW Z AH N
BETTERIDGE	B EH T ER IH JH
BETTERTON	B EH T ER T AH N
BETTES	B EH T IY Z
BETTI	B EH T IY
BETTIN	B EH T IH N
BETTINA	B AH T IY N AH
BETTINGER	B EH T IH NG ER
BETTINI	B EH T IY N IY
BETTINO	B EH T IY N OW
BETTIS	B EH T IH S
BETTMAN	B EH T M AH N
BETTMAN'S	B EH T M AH N Z
BETTNER	B EH T N ER
BETTON	B EH T AH N
BETTORS	B EH T ER Z
BETTS	B EH T S
BETTY'S	B EH T IY Z
BETZ	B EH T S
BETZER	B EH T Z ER
BETZLER	B EH T S L ER
BETZOLD	B EH T Z OW L D
BEU	B UW
BEUCLER	B OY K AH L ER
BEUCLER(1)	B OY K L ER
BEUKEMA	B UW K IY M AH
BEULA	B UW L AH
BEULAH	B Y UW L AH
BEUMER	B IY AH M ER
BEUTHIN	B Y UW TH IH N
BEUYS	B Y UW IY Z
BEVACQUA	B EH V AA K W AH
BEVALAQUA	B EH V AH L AA K AH
BEVAN	B EH V AH N
BEVANS	B EH V AH N Z
BEVAQUA	B EH V AA K AH
BEVARD	B IH V AA R D
BEVEN	B EH V AH N
BEVENS	B IY V AH N Z
BEVERAGES	B EH V R IH JH IH Z
BEVERIDGE	B EH V ER IH JH
BEVERLEY	B EH V ER L IY
BEVERLIN	B EH V ER L IH N
BEVERLY	B EH V ER L IY
BEVERLY'S	B EH V ER L IY Z
BEVERS	B EH V ER Z
BEVIER	B EH V IY ER
BEVILACQUA	B EH V IY L AA K W AH
BEVILL	B EH V AH L
BEVILLE	B IY V IH L
BEVIN	B EH V IH N
BEVINS	B EH V IH N Z
BEVIS	B EH V IH S
BEVMARK	B EH V M AA R K
BEWILDERING	B IH W IH L D ER IH NG
BEWILDERS	B IH W IH L D ER Z
BEWITCHED	B IH W IH CH T
BEXLEY	B EH K S L IY
BEYER	B EY ER
BEYERLE	B AY R AH L
BEYERLEIN	B AY R L AY N
BEYERS	B EY ER Z
BEYERSDORF	B AY R S D AO R F
BEYL	B EY L
BEYNON	B EY N AH N
BEYONCE	B IH Y AO N S EY
BEZAIRE	B AH Z EH R
BEZANSON	B EH Z AH N S AH N
BEZDEK	B EH Z D IH K
BEZEK	B EH Z EH K
BEZNER	B EH Z N ER
BEZOLD	B EH Z OW L D
BHANGRA	B AA NG G R AH
BHARATA	B AA R AA T AH
BHATIA	B AA SH AH
BHATIA(1)	B AA T Y AH
BHATT	B AE T
BHATT(1)	B AA T
BHATTI	B AA T IY
BHATTI(1)	B AA T IY
BHIKSHA	B IH K SH AA
BHIRUD	B IH R AH D
BHOPAL	B OW P AA L
BHOSLE	B AO S AH L
BHUTAN	B UW T AE N
BHUTAN(1)	B AH T AA N
BHUTTO'S	B UW T OW Z
BI-DAILY	B AY D EY L IY
BIAGGI	B IY AE JH IY
BIAGGINI	B IY AH G IY N IY
BIAGI	B IY AA JH IY
BIAGINI	B IY AH JH IY N IY
BIAGIONI	B IY AA JH IY OW N IY
BIALAS	B IY AA L AH S
BIALECKI	B IY AH L EH T S K IY
BIALECKI(1)	B IY AH L EH K IY
BIALIK	B IY AA L IH K
BIALKIN	B IY AA L K IH N
BIALKOWSKI	B IY AH L K AW S K IY
BIAMBY	B IY AA M B IY
BIAMBY'S	B IY AA M B IY Z
BIAMONTE	B IY AH M AO N T IY
BIANA	B IY AA N AH
BIANCA	B IY AA NG K AH
BIANCHI	B IY AA N CH IY
BIANCHINI	B IY AA N CH IY N IY
BIANCO	B IY AA NG K OW
BIANCONI	B IY AA NG K OW N IY
BIANCULLI	B IY AA NG K UW L IY
BIASES	B AY AH S IH Z
BIAZ	B IY AE Z
BIBA	B IY B AH
BIBBEE	B IH B IY
BIBBO	B IY B OW
BIBBS	B IH B Z
BIBBY	B IH B IY
BIBEAULT	B IH B OW
BIBEE	B IH B IY
BIBER	B AY B ER
BIBI	B IH B IY
BIBI'S	B IH B IY Z
BIBLE	B AY B AH L
BIBLE'S	B AY B AH L Z
BIBLES	B AY B AH L Z
BIBLIOGRAPHIES	B IH B L IY AA G R AH F IY Z
BIBS	B IH B Z
BIBY	B AY B IY
BICEP	B AY S EH P
BICHLER	B IH K AH L ER
BICHLER(1)	B IH K L ER
BICHSEL	B IH K S AH L
BICKEL	B IH K AH L
BICKELL	B IH K AH L
BICKERS	B IH K ER Z
BICKERSTAFF	B IH K ER S T AE F
BICKERT	B IH K ER T
BICKERTON	B IH K ER T AH N
BICKHAM	B IH K HH AH M
BICKHART	B IH K HH AA R T
BICKLE	B IH K AH L
BICKLER	B IH K L ER
BICKLEY	B IH K L IY
BICKMORE	B IH K M AO R
BICKNELL	B IH K N AH L
BICKNER	B IH K N ER
BICKSLER	B IH K S L ER
BICYCLED	B AY S IH K AH L D
BICYCLES	B AY S IH K AH L Z
BICYCLING	B AY S IH K AH L IH NG
BICYCLING(1)	B AY S IH K L IH NG
BICYCLISTS	B AY S IH K L IH S T S
BICYCLISTS(1)	B AY S IH K L IH S
BID'S	B IH D Z
BIDCOS	B IH D K OW S
BIDDER'S	B IH D ER Z
BIDDERS	B IH D ER Z
BIDDIE	B IH D IY
BIDDISON	B IH D IH S AH N
BIDDIX	B IH D IH K S
BIDDLE	B IH D AH L
BIDDLE'S	B IH D AH L Z
BIDEN	B AY D AH N
BIDERMAN	B AY D ER M AH N
BIDGOOD	B IH D G UH D
BIDINGER	B AY D IH NG ER
BIDLACK	B IH D L AE K
BIDLO	B IH D L OW
BIDLO'S	B IH D L OW Z
BIDS	B IH D Z
BIDWELL	B IH D W EH L
BIDWILL	B IH D W IH L
BIEDERMAN	B IY D ER M AH N
BIEDERMANN	B AY D ER M AH N
BIEDERMEIER	B IY D ER M AY ER
BIEDRZYCKI	B IH JH IH T S K IY
BIEGEL	B IY G AH L
BIEGLER(1)	B IY G L ER
BIEHL	B IY L
BIEHLER	B IY L ER
BIEHN	B IY N
BIEKER	B IY K ER
BIEL	B IY L
BIELA	B IY L AH
BIELAK	B IY L AH K
BIELANSKI	B IY L AE N S K IY
BIELAT	B IY L AH T
BIELAWSKI	B IY L AA F S K IY
BIELBY	B IY L B IY
BIELECKI	B IY L EH T S K IY
BIELECKI(1)	B AY L EH K IY
BIELEFELD	B IY L IH F EH L D
BIELEFELDT	B IY L IH F IH L T
BIELEN	B IY L AH N
BIELENBERG	B IY L AH N B ER G
BIELER	B IY L ER
BIELICKI	B IH L IH T S K IY
BIELKE	B IY L K
BIELSKI	B IY L S K IY
BIENIEK	B IH N IY EH K
BIENKOWSKI	B IH NG K AO F S K IY
BIENSTOCK	B IY N S T AA K
BIENVENU	B AH N V EH N UW
BIENVENUE	B AH N V EY N W EH
BIERBARROR	B IH R B AA R ER
BIERBAUER	B IH R B AW ER
BIERBAUER'S	B IH R B AW ER Z
BIERBAUM	B IH R B AW M
BIERBUSSE	B IH R B AH S
BIERER	B IH R ER
BIERLEIN	B IH R L AY N
BIERLEY	B IH R L IY
BIERLY	B IH R L IY
BIERMAN	B IH R M AH N
BIERMANN	B IH R M AH N
BIERNACKI	B IH R N AA T S K IY
BIERS	B IY R Z
BIERWIRTH	B IH R W ER TH
BIERY	B IH R IY
BIES	B AY Z
BIESECKER	B IY S IH K ER
BIETZ	B IY T S
BIEV	B IY V
BIEV'S	B IY V Z
BIEVER	B IY V ER
BIFFLE	B IH F AH L
BIFIDA	B IH F AH D AH
BIFULCO	B IH F UW L K OW
BIFURCATED	B IH F ER K EY T IH D
BIFURCATED(1)	B AY F ER K EY T IH D
BIG-ASS	B IH G AE S
BIG-EYED	B IH G AY D
BIGAN	B IH G AH N
BIGBIE	B IH G B IY
BIGELOW	B IH G AH L OW
BIGFOOT	B IH G F UH T
BIGFORD	B IH G F ER D
BIGGAR	B IH G ER
BIGGER	B IH G ER
BIGGERSTAFF	B IH G ER S T AE F
BIGGEST	B IH G AH S T
BIGGIES	B IH G IY Z
BIGGINS	B IH G IH N Z
BIGGS	B IH G Z
BIGHAM	B AY G HH AH M
BIGHORNS	B IH G HH AO R N Z
BIGLER	B AY G AH L ER
BIGLER(2)	B IH G L ER
BIGLEY	B IH G L IY
BIGLIN	B IH G L IH N
BIGLOW	B IH G L OW
BIGNELL	B IH G N EH L
BIGOS	B IY G OW Z
BIGOTS	B IH G AH T S
BIGRAM	B AY G R AE M
BIGTIME	B IH G T AY M
BIGWIGS	B IH G W IH G Z
BIGWOOD	B IH G W UH D
BIHAC'S	B IY HH AA CH IH Z
BIHARI	B IH HH AA R IY
BIHARI(1)	B IY HH AA R IY
BIHL	B IH L
BIHM	B IH M
BIJAC(1)	B IY JH AE K
BIJAN	B IH JH AH N
BIJELJINA	B IH JH EH L JH IY N AH
BIJUR	B IY ZH UH R
BIKERS	B AY K ER Z
BIKES	B AY K S
BIKIN	B IH K IH N
BIKING	B AY K IH NG
BIKINIS	B AH K IY N IY Z
BIKO	B IY K OW
BIKO'S	B IY K OW Z
BIL	B IH L
BILA	B IY L AH
BILBAO	B IH L B AW
BILBAOAN	B IH L B OW AH N
BILBAOANS	B IH L B OW AH N Z
BILBREY	B IH L B R IY
BILBRO	B IY L B R OW
BILDERBACK	B AY L D ER B AE K
BILDNER	B IH L D N ER
BILDT	B IH L T
BILDT'S	B IH L T S
BILEK	B IH L EH K
BILES	B AY L Z
BILGER	B IH L G ER
BILICKI	B IH L IH T S K IY
BILINGS	B AY L IH NG Z
BILINSKI	B IH L IH N S K IY
BILIRAKIS	B IH L IH R AH K IH S
BILJANA	B IY L Y AA N AA
BILKA	B IH L K AH
BILKED	B IH L K T
BILKO	B IH L K OW
BILL'S	B IH L Z
BILLABLE	B IH L AH B AH L
BILLANCOURT	B IH L AH N K AO R T
BILLARD	B IH L AA R D
BILLBOARD'S	B IH L B AO R D Z
BILLBOARDS	B IH L B AO R D Z
BILLE	B AY L
BILLED	B IH L D
BILLERICA	B IH L ER IY K AH
BILLETS	B IH L AH T S
BILLIAD	B IH L IY AH D
BILLICK	B IH L IH K
BILLIE	B IH L IY
BILLIG	B IH L IH G
BILLINGER	B IH L IH NG ER
BILLINGHAM	B IH L IH NG HH AE M
BILLINGS	B IH L IH NG Z
BILLINGSLEA	B IH L IH NG Z L IY
BILLINGSLEY	B IH L IH NG Z L IY
BILLINGSLY	B IH L IH NG Z L IY
BILLINGTON	B IH L IH NG T AH N
BILLIONAIRES	B IH L Y AH N EH R Z
BILLIONS	B IH L Y AH N Z
BILLIONTHS	B IH L Y AH N TH S
BILLIOT	B IH L IY AA T
BILLITER	B IH L IY T ER
BILLITON	B IH L IH T AH N
BILLMAN	B IH L M AH N
BILLMEYER	B IH L M AY ER
BILLOWED	B IH L OW D
BILLOWS	B IH L OW Z
BILLS	B IH L Z
BILLS'	B IH L Z
BILLUP	B IH L AH P
BILLUPS	B IH L AH P S
BILLY'S	B IH L IY Z
BILODEAU	B IH L AH D OW
BILOTTI	B IH L AA T IY
BILOW	B IH L OW
BILOXI	B AH L AH K S IY
BILOXI'S	B AH L AH K S IY Z
BILSKI	B IH L S K IY
BILSKY	B IH L S K IY
BILSON	B IH L S AH N
BILTZ	B IH L T S
BILZERIAN	B IH L Z EH R IY AH N
BILZERIAN'S	B IH L Z EH R IY AH N Z
BIMBOS	B IH M B OW S
BIMINI	B IH M AH N IY
BIMINI(1)	B IH M IY N IY
BINA	B IY N AH
BINARIES	B AY N AH R IY Z
BINATIONAL	B AY N AE SH AH N AH L
BINCHY	B IH N CH IY
BINDEL	B IH N D AH L
BINDERS	B AY N D ER Z
BINDINGS	B AY N D IH NG Z
BINDLES	B IH N D AH L Z
BINDLEY	B IH N D L IY
BINDS	B AY N D Z
BINEGAR	B IH N IH G ER
BINES	B AY N Z
BINETTE	B IH N EH T
BINETTI	B IH N EH T IY
BINFIELD	B IH N F IY L D
BINFORD	B IH N F ER D
BINGAMAN	B IH NG G AH M AH N
BINGED	B IH N JH D
BINGEL	B IH NG G AH L
BINGENHEIMER	B IH NG G IH N HH AY M ER
BINGER(1)	B IH NG G ER
BINGES	B IH N JH IH Z
BINGHAM	B IH NG G AH M
BINGHAMTON	B IH NG G AH M T AH N
BINGING	B IH NG G IH NG
BINGLEY	B IH NG G L IY
BINGMAN	B IH NG G M AH N
BINION	B IH N Y AH N
BINK	B IH NG K
BINKLEY	B IH NG K L IY
BINKOWSKI	B IH NG K OW S K IY
BINN	B IH N
BINNER	B IH N ER
BINNEY	B IH N IY
BINNIE	B IH N IY
BINNS	B IH N Z
BINS	B IH N Z
BINSTOCK	B IH N S T AA K
BINTZ	B IH N T S
BINZ	B IH N Z
BIO'S	B AY OW Z
BIOCHEM	B AY OW K EH M
BIOCINE	B AY AH S IY N
BIOCRAFT	B AY OW K R AE F T
BIOENGINEER	B AY OW EH N JH AH N IH R
BIOFLAVONOIDS	B AY OW F L EY V AH N OY D Z
BIOGRAPHERS	B AY AA G R AH F ER Z
BIOGRAPHIES	B AY AA G R AH F IY Z
BIOHAZARDS	B AY OW HH AE Z ER D Z
BIOLOGICALS	B AY AH L AA JH IH K AH L Z
BIOLOGICS	B AY AH L AA JH IH K S
BIOLOGISTS	B AY AA L AH JH IH S T S
BIOLOGY'S	B AY AA L AH JH IY Z
BIOMATERIAL	B AY OW M AH T IH R IY AH L
BIOMATERIALS	B AY OW M AH T IH R IY AH L Z
BIOMED	B AY OW M EH D
BIOMED'S	B AY OW M EH D Z
BIOMEDICALS	B AY OW M EH D IH K AH L Z
BIOMES	B AY OW M Z
BIONDI	B IY AA N D IY
BIONDOLILLO	B IY OW N D OW L IH L OW
BIONETICS	B AY OW N EH T IH K S
BIOPHARM	B AY AH F AA R M
BIOPHARMACY	B AY OW F AA R M AH S IY
BIOPSIES	B AY AA P S IY Z
BIOS	B AY OW S
BIOSAFETY	B AY OW S EY F T IY
BIOSCIENCES	B AY OW S AY AH N S IH Z
BIOSENSORS	B AY OW S EH N S ER Z
BIOSIS	B IY OW Z IH S
BIOSIS(1)	B IY OW S IH S
BIOSPHERES	B AY OW S F IH R Z
BIOSPHERIANS	B AY OW S F IH R IY AH N Z
BIOSYS	B AY OW S IH S
BIOSYSTEM	B AY OW S IH S T AH M
BIOSYSTEMS	B AY OW S IH S T AH M Z
BIOTECHNICA	B AY OW T EH K N IH K AH
BIOTECHNICA'S	B AY OW T EH K N IH K AH Z
BIOTECHNOLOGY'S	B AY OW T EH K N AA L AH JH IY Z
BIOTECHS	B AY OW T EH K S
BIOTHERAPEUTIC	B AY OW TH EH R AH P Y UW T IH K
BIOTHERAPEUTICS	B AY OW TH EH R AH P Y UW T IH K S
BIOVEST	B AY OW V AH S T
BIPARTISANSHIP	B AY P AA R T AH Z AH N SH IH P
BIPPUS	B IH P AH S
BIR	B ER
BIRCH'S	B ER CH IH Z
BIRCHALL	B ER K AH L
BIRCHARD	B ER K ER D
BIRCHER	B ER CH ER
BIRCHETT	B ER CH IH T
BIRCHFIELD	B ER CH F IY L D
BIRCHLER	B ER K AH L ER
BIRCHLER(1)	B ER K L ER
BIRCHMEIER	B ER K M AY ER
BIRD'S	B ER D Z
BIRDDOG	B ER D D AW G
BIRDDOG(1)	B ER D AW G
BIRDEN	B ER D AH N
BIRDERS	B ER D ER Z
BIRDFEATHER	B ER D F EH DH ER
BIRDFEATHER'S	B ER D F EH DH ER Z
BIRDFEATHERS	B ER D F EH DH ER Z
BIRDFEEDER	B ER D F IY D ER
BIRDFEEDER'S	B ER D F IY D ER Z
BIRDFINDER	B ER D F AY N D ER
BIRDHOUSES	B ER D HH AW S IH Z
BIRDIES	B ER D IY Z
BIRDLIFE	B ER D L AY F
BIRDS'	B ER D Z
BIRDSALL	B ER D Z AO L
BIRDSELL	B ER D S AH L
BIRDSEYE	B ER D Z AY
BIRDWATCHER	B ER D W AA CH ER
BIRDWATCHERS	B ER D W AA CH ER Z
BIRDWATCHING	B ER D W AA CH IH NG
BIRDY	B ER D IY
BIREMES	B AY R IY M Z
BIRENBAUM	B AY R AH N B AW M
BIRES	B AY R Z
BIRGE	B ER JH
BIRINYI	B IH R IY N Y IY
BIRK	B ER K
BIRKEDAL	B ER K AH D AA L
BIRKEL	B ER K AH L
BIRKELAND	B ER K L AH N D
BIRKENAU	B ER K AH N AW
BIRKES	B ER K S
BIRKEY	B ER K IY
BIRKHEAD	B ER K HH EH D
BIRKHIMER	B ER K HH IH M ER
BIRKHOLZ	B ER K HH OW L Z
BIRKLAND	B ER K L AH N D
BIRKNER	B ER K N ER
BIRKS	B ER K S
BIRKY	B ER K IY
BIRLEY	B ER L IY
BIRMAN	B ER M AH N
BIRMID	B ER M IH D
BIRMID'S	B ER M IH D Z
BIRNEY	B ER N IY
BIRO	B IH R OW
BIRON	B AY R AH N
BIROS	B AY R OW Z
BIRTCHER	B ER CH ER
BIRTHDAYS	B ER TH D EY Z
BIRTHPLACES	B ER TH P L EY S IH Z
BIRTHRATES	B ER TH R EY T S
BIRTHS	B ER TH S
BIRTLE	B ER T AH L
BIRTLEY	B ER T L IY
BIRTLEY'S	B ER T L IY Z
BISAILLON	B AY S AH L AA N
BISBEE	B IH S B IY
BISBING	B IH S B IH NG
BISCEGLIA	B IH S CH EH G L IY AH
BISCH	B IH SH
BISCHEL	B IH SH AH L
BISCHOF	B IH SH AH F
BISCHOFF	B IH S K HH AO F
BISCUITS	B IH S K AH T S
BISE	B AY Z
BISEK	B IH S IH K
BISEL	B IH S AH L
BISER	B AY Z ER
BISESI	B IH S EH S IY
BISEXUALS	B AY S EH K SH UW AH L Z
BISH	B IH SH
BISHER	B IH SH ER
BISHOFF	B IH S HH AO F
BISHOP'S	B IH SH AH P S
BISHOPRICS	B IH SH AH P R IH K S
BISHOPS	B IH SH AH P S
BISHOPS'	B IH SH AA P S
BISIANI	B IH S IY AA N IY
BISIG	B IH S IH G
BISIGNANO	B IH S IY G N AA N OW
BISKUP	B IH S K AH P
BISMARCK	B IH Z M AA R K
BISPING	B IH S P IH NG
BISSELL	B IH S AH L
BISSEN	B IH S AH N
